title,production_countries
Cotton Mary,"['france', 'united kingdom', 'united states of america']"
Not One Less,['china']
Soft Toilet Seats,['united states of america']
Trois,['united states of america']
The Big Combo,['united states of america']
Conceiving Ada,
Eaten Alive,['united states of america']
Raining Stones,['united kingdom']
"To Sir, with Love",['united kingdom']
With Byrd at the South Pole,
Boiler Room,['united states of america']
Hanging Up,"['germany', 'united states of america']"
Pitch Black,['united states of america']
The Whole Nine Yards,"['canada', 'united states of america']"
Beautiful People,['united kingdom']
Black Tar Heroin: The Dark End of the Street,['united states of america']
Blue Collar,['united states of america']
Bluebeard,['united states of america']
The Circus,['united states of america']
City Lights,['united states of america']
The Flamingo Kid,['united states of america']
A Dog's Life,['united states of america']
The Kid,['united states of america']
The Man from Laramie,['united states of america']
The Wild McCullochs,['united states of america']
Class Reunion,['united states of america']
The Big Trees,['united states of america']
Happy Go Lovely,['united kingdom']
Reindeer Games,['united states of america']
Wonder Boys,"['germany', 'japan', 'united kingdom', 'united states of america']"
Deterrence,['united states of america']
Judy Berlin,['united states of america']
Mifune,"['denmark', 'sweden']"
The Waiting Game,
3 Strikes,['united states of america']
Chain of Fools,['united states of america']
Drowning Mona,['united states of america']
The Next Best Thing,['united states of america']
What Planet Are You From?,['united states of america']
Beyond the Mat,['united states of america']
Ghost Dog: The Way of the Samurai,['united states of america']
The Year My Voice Broke,['australia']
Splendor in the Grass,['united states of america']
My Tutor,['united states of america']
The Legend of Lobo,['united states of america']
The Killing of Sister George,['united kingdom']
Key Largo,['united states of america']
Jail Bait,['united states of america']
It Happened Here,['united kingdom']
I'll Never Forget What's'isname,['united kingdom']
For All Mankind,['united states of america']
Cross of Iron,"['germany', 'united kingdom']"
Bride of the Monster,['united states of america']
Born Yesterday,['united states of america']
Birdy,['united states of america']
And God Created Woman,['united states of america']
Blood Feast,['united states of america']
"Charlie, the Lonesome Cougar",
Color Me Blood Red,['united states of america']
Never Cry Wolf,['united states of america']
The Night Visitor,"['sweden', 'united states of america']"
The Perils of Pauline,['united states of america']
A Raisin in the Sun,['united states of america']
Two Thousand Maniacs!,['united states of america']
Brown's Requiem,['united states of america']
The Closer You Get,
Mission to Mars,['united states of america']
The Ninth Gate,"['france', 'portugal', 'spain']"
Condo Painting,
East/West,"['bulgaria', 'spain', 'france', 'russia']"
Defending Your Life,['united states of america']
Breaking Away,['united states of america']
Hoosiers,['united states of america']
Bull Durham,['united states of america']
Dog Day Afternoon,['united states of america']
American Graffiti,['united states of america']
The Asphalt Jungle,['united states of america']
The Searchers,['united states of america']
The Devil's Brigade,['united states of america']
The Big Country,['united states of america']
Any Number Can Win,"['france', 'italy']"
Betrayed,"['japan', 'united states of america']"
Bound for Glory,['united states of america']
The Bridge at Remagen,['united states of america']
Buck and the Preacher,['united states of america']
Daughters of the Dust,"['united kingdom', 'united states of america']"
Destination Moon,['united states of america']
The Fantastic Night,['france']
Hangmen Also Die!,['united states of america']
The Ogre,"['france', 'germany', 'united kingdom']"
On the Beach,['united states of america']
Railroaded!,['united states of america']
Slaves to the Underground,
Song of Freedom,['united kingdom']
Big Fella,
The Taking of Pelham One Two Three,['united states of america']
Volunteers,['united states of america']
JFK,['united states of america']
Who's Harry Crumb?,['united states of america']
Harry and the Hendersons,['united states of america']
Let's Get Harry,['united states of america']
Shanghai Surprise,['united kingdom']
Who's That Girl,['united states of america']
She-Devil,['united states of america']
Date With an Angel,['united states of america']
Blind Date,['united states of america']
Nadine,['united states of america']
The Muppet Movie,['united states of america']
The Great Muppet Caper,['united kingdom']
The Muppets Take Manhattan,"['united kingdom', 'united states of america']"
Sesame Street Presents Follow That Bird,['united states of america']
We're Back! A Dinosaur's Story,['united states of america']
Baby: Secret of the Lost Legend,['united states of america']
Turtle Diary,"['united kingdom', 'united states of america']"
Raise the Titanic,['united kingdom']
Titanic,['united states of america']
A Night to Remember,['united kingdom']
Captain Horatio Hornblower R.N.,['united states of america']
The Carriers Are Waiting,"['france', 'belgium', 'switzerland']"
Erin Brockovich,['united states of america']
Final Destination,['united states of america']
Soft Fruit,
Babymother,['united kingdom']
The Bear,"['france', 'united states of america']"
Impact,['united states of america']
Love Is a Many-Splendored Thing,['united states of america']
Mirror,['russia']
The Crimson Pirate,['united states of america']
Thelma & Louise,['united states of america']
Something For Everyone,
...And Justice for All,['united states of america']
Animal House,['united states of america']
She's Gotta Have It,['united states of america']
School Daze,['united states of america']
Do the Right Thing,['united states of america']
Mo' Better Blues,['united states of america']
Jungle Fever,['united states of america']
Coogan's Bluff,['united states of america']
The Champ,['united states of america']
Creature Comforts,['united kingdom']
Death Wish,['united states of america']
Death Wish 2,['united states of america']
Death Wish 3,['united states of america']
Death Wish 4: The Crackdown,['united states of america']
Death Wish 5: The Face of Death,"['canada', 'united states of america']"
Double Indemnity,['united states of america']
Dying Young,['united states of america']
Cool as Ice,['united states of america']
Teenage Mutant Ninja Turtles,"['hong kong', 'united states of america']"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"['hong kong', 'united states of america']"
Teenage Mutant Ninja Turtles III,"['hong kong', 'united states of america']"
Red Dawn,['united states of america']
Band of the Hand,['united states of america']
Born American,['united states of america']
Bloodsport,['united states of america']
Eyes of Laura Mars,['united states of america']
Funny Bones,['united states of america']
The Good Earth,['united states of america']
"Good Morning, Vietnam",['united states of america']
The Good Mother,['united states of america']
Grumpy Old Men,['united states of america']
Guess Who's Coming to Dinner,['united states of america']
Romeo Must Die,['united states of america']
Here On Earth,['united states of america']
Whatever It Takes,['united states of america']
Buddy Boy,
The Color of Paradise,['iran']
Waking the Dead,"['canada', 'united states of america']"
Blood and Sand,"['spain', 'united states of america']"
Gothic,['united kingdom']
Hillbillys in a Haunted House,['united states of america']
Lord of the Flies,['united kingdom']
Modern Times,['united states of america']
National Lampoon's Last Resort,
Solar Crisis,"['japan', 'united states of america']"
That's Life!,['united states of america']
Heart and Souls,['united states of america']
Hud,['united states of america']
The Hustler,['united states of america']
Inherit the Wind,['united states of america']
Dersu Uzala,"['russia', 'japan']"
Close Encounters of the Third Kind,['united states of america']
The City of the Dead,['united kingdom']
Jonah Who Will Be 25 in the Year 2000,"['france', 'switzerland']"
Retroactive,['united states of america']
A Place in the Sun,['united states of america']
Jacob's Ladder,['united states of america']
Empire Records,['united states of america']
La Bamba,['united states of america']
Ladyhawke,['united states of america']
Lucas,['united states of america']
High Fidelity,"['united kingdom', 'united states of america']"
The Road to El Dorado,['united states of america']
The Skulls,"['canada', 'united states of america']"
Autopsy,
Devil Girl from Mars,['united kingdom']
El Dorado,['united states of america']
The Hideous Sun Demon,['united states of america']
Hook,['united states of america']
Horror Express,"['spain', 'united kingdom']"
My Chauffeur,['united states of america']
The Son of the Sheik,['united states of america']
Torso,['italy']
True Grit,['united states of america']
Roadside Prophets,['united states of america']
Madame Sousatzka,['united kingdom']
Max Dugan Returns,['united states of america']
Midnight Express,"['united kingdom', 'united states of america']"
Misery,['united states of america']
Mr. Saturday Night,
Murphy's Romance,['united states of america']
My Life,['united states of america']
Solaris,['russia']
Network,['united states of america']
No Way Out,['united states of america']
North Dallas Forty,['united states of america']
The Odd Couple,['united states of america']
The Outlaw Josey Wales,['united states of america']
Black and White,['united states of america']
Frequency,['united states of america']
Ready to Rumble,['united states of america']
Return to Me,['united states of america']
Rules of Engagement,['united states of america']
Joe Gould's Secret,
Me Myself I,['france']
"Bell, Book and Candle",['united states of america']
The Bells,['united states of america']
The End of Violence,"['france', 'germany', 'united states of america']"
Force 10 from Navarone,['united kingdom']
How to Stuff a Wild Bikini,['united states of america']
Mystery Train,"['japan', 'united states of america']"
Sacco & Vanzetti,"['france', 'italy']"
Taffin,"['ireland', 'united kingdom']"
Arthur,['united states of america']
Bachelor Party,['united states of america']
Parenthood,['united states of america']
Predator,['united states of america']
The Prince of Tides,['united states of america']
The Postman Always Rings Twice,"['germany', 'united states of america']"
Smoking / No Smoking,['france']
All the Vermeers in New York,['united states of america']
An Actor's Revenge,['japan']
28 Days,['united states of america']
American Psycho,"['canada', 'united states of america']"
Keeping the Faith,['united states of america']
Where the Money is,"['canada', 'germany', 'united states of america', 'united kingdom']"
East Is East,['united kingdom']
The Filth and the Fury,['united kingdom']
Passion of Mind,['united states of america']
Third World Cop,['jamaica']
Coming Apart,['united states of america']
Diner,['united states of america']
Shakes the Clown,['united states of america']
Cabaret,['united states of america']
What Ever Happened to Baby Jane?,['united states of america']
Prick Up Your Ears,['united kingdom']
Auntie Mame,['united states of america']
Guys and Dolls,['united states of america']
The Hunger,['united kingdom']
Marathon Man,['united states of america']
Caddyshack,['united states of america']
Gossip,['united states of america']
Love & Basketball,['united states of america']
U-571,"['france', 'united states of america']"
The Virgin Suicides,['united states of america']
Jennifer Eight,['united states of america']
The Law,"['italy', 'france']"
Limelight,['united states of america']
Empire of Passion,"['france', 'japan']"
Stacy's Knights,['united states of america']
Committed,['united states of america']
The Crow: Salvation,"['germany', 'united states of america']"
The Flintstones in Viva Rock Vegas,['united states of america']
Where the Heart Is,['united states of america']
The Big Kahuna,['united states of america']
Bossa Nova,"['brazil', 'united states of america']"
Smiling Fish & Goat On Fire,['united states of america']
The Idiots,"['denmark', 'france', 'germany', 'italy', 'netherlands', 'sweden']"
The Last September,
Timecode,['united states of america']
Carnosaur,['united states of america']
Carnosaur 2,['united states of america']
Carnosaur 3: Primal Species,['united states of america']
Defying Gravity,['united states of america']
The Hidden,['united states of america']
Two Moon Junction,['united states of america']
Gladiator,"['united kingdom', 'united states of america']"
I Dreamed of Africa,['united states of america']
Up at the Villa,"['united kingdom', 'united states of america']"
Human Traffic,"['united kingdom', 'ireland']"
Black Tights,"['france', 'portugal']"
Breathless,['united states of america']
The Great Locomotive Chase,['united states of america']
The Idolmaker,['united states of america']
Inferno,['italy']
The King of Marvin Gardens,['united states of america']
"The Nibelungs, Tale 1: Siegfried","['germany', 'serbia']"
The Lords of Flatbush,['united states of america']
Mr. Mom,['united states of america']
Time Masters,"['france', 'germany', 'hungary', 'switzerland', 'united kingdom']"
Battlefield Earth,['united states of america']
Center Stage,['united states of america']
Held Up,['united states of america']
Screwed,
Whipped,['united states of america']
Hamlet,['united states of america']
Anchors Aweigh,['united states of america']
Blue Hawaii,['united states of america']
The Castaway Cowboy,['united states of america']
G.I. Blues,['united states of america']
The Gay Deceivers,['united states of america']
Gypsy,['united states of america']
King Creole,['united states of america']
On the Town,['united states of america']
One Little Indian,['united states of america']
Pee-wee's Big Adventure,['united states of america']
Regret to Inform,
Roustabout,['united states of america']
Saludos Amigos,['united states of america']
The Slipper and the Rose,['united kingdom']
Things Change,['united states of america']
Honeymoon in Vegas,['united states of america']
Dinosaur,['united states of america']
Loser,['united states of america']
Road Trip,['united states of america']
Small Time Crooks,['united states of america']
The Hollywood Knights,['united states of america']
The Myth Of Fingerprints,['united states of america']
Possession,"['germany', 'france']"
The Twelve Chairs,['united states of america']
Mission: Impossible II,"['germany', 'united states of america']"
Shanghai Noon,"['hong kong', 'united states of america']"
Better Living Through Circuitry,
8 ½ Women,"['germany', 'united kingdom', 'luxembourg', 'netherlands']"
Carnival of Souls,['united states of america']
Flying Tigers,"['mexico', 'united states of america']"
The Gold Rush,['united states of america']
Lisa and the Devil,"['germany', 'spain', 'italy', 'united states of america']"
It's in the Water,['united states of america']
Monsieur Verdoux,['united states of america']
On Her Majesty's Secret Service,"['united kingdom', 'united states of america']"
Seven Days in May,['united states of america']
The Spy Who Loved Me,"['united kingdom', 'united states of america']"
Those Who Love Me Can Take the Train,['france']
Vagabond,['france']
Moonraker,"['france', 'united kingdom', 'united states of america']"
The Man with the Golden Gun,"['united kingdom', 'united states of america']"
A King in New York,"['united kingdom', 'united states of america']"
A Woman of Paris,['united states of america']
In Old California,['united states of america']
The Fighting Seabees,['united states of america']
Dark Command,['united states of america']
Cléo from 5 to 7,"['france', 'italy']"
Big Momma's House,"['germany', 'united states of america']"
Running Free,['united states of america']
The Abominable Snowman,['united kingdom']
American Gigolo,['united states of america']
Anguish,['spain']
The Blood Spattered Bride,['spain']
City of the Living Dead,['italy']
The Endless Summer,['united states of america']
The Guns of Navarone,"['united kingdom', 'united states of america']"
La Grande Bouffe,"['france', 'italy']"
Lured,['united states of america']
Pandora and the Flying Dutchman,['united kingdom']
Quatermass and the Pit,['united kingdom']
Quatermass II,['united kingdom']
Puppet Master,['united states of america']
Puppet Master II,['united states of america']
Puppet Master III Toulon's Revenge,['united states of america']
Puppet Master 4,['united states of america']
Puppet Master 5: The Final Chapter,['united states of america']
Curse of the Puppet Master,['united states of america']
Retro Puppet Master,['united states of america']
Rent-a-Cop,['united states of america']
Romeo and Juliet,"['italy', 'united kingdom']"
Stay Tuned,['united states of america']
The Story of G.I. Joe,['united states of america']
Blazing Saddles,['united states of america']
Benji,['united states of america']
Benji the Hunted,['united states of america']
For the Love of Benji,
White Christmas,['united states of america']
Eraserhead,['united states of america']
Baraka,['united states of america']
The Man with the Golden Arm,['united states of america']
The Decline of Western Civilization,['united states of america']
The Decline of Western Civilization Part II: The Metal Years,['united states of america']
For a Few Dollars More,"['italy', 'spain', 'germany']"
Magnum Force,['united states of america']
Blood Simple,['united states of america']
The Fabulous Baker Boys,['united states of america']
Prizzi's Honor,['united states of america']
Flatliners,['united states of america']
Gandahar,['france']
Porky's,"['united states of america', 'canada']"
Porky's II: The Next Day,"['canada', 'united states of america']"
Porky's 3: Revenge,"['canada', 'united states of america']"
Private School,['united states of america']
Class of Nuke 'Em High,['united states of america']
The Toxic Avenger,['united states of america']
The Toxic Avenger Part II,['united states of america']
The Toxic Avenger Part III: The Last Temptation of Toxie,['united states of america']
Night of the Creeps,['united states of america']
Predator 2,['united states of america']
The Running Man,['united states of america']
Starman,['united states of america']
The Brother from Another Planet,['united states of america']
Alien Nation,['united states of america']
Mad Max,['australia']
Mad Max 2: The Road Warrior,['australia']
Mad Max Beyond Thunderdome,['australia']
Bird on a Wire,['united states of america']
Angel Heart,['united states of america']
Nine 1/2 Weeks,['united states of america']
Firestarter,['united states of america']
Sleepwalkers,['united states of america']
Action Jackson,['united states of america']
Sarafina!,"['south africa', 'united kingdom', 'united states of america', 'france']"
Soapdish,['united states of america']
The Long Walk Home,['united states of america']
Clara's Heart,['united states of america']
Burglar,"['canada', 'united states of america']"
Fatal Beauty,"['japan', 'united states of america']"
Gone in Sixty Seconds,['united states of america']
American Pimp,
Love's Labour's Lost,"['france', 'united kingdom', 'united states of america']"
Sunshine,"['austria', 'canada', 'germany', 'hungary']"
Trixie,['united states of america']
American Virgin,
Hamlet,"['france', 'united kingdom', 'united states of america']"
Coming Home,['united states of america']
American Pop,['united states of america']
Assault on Precinct 13,['united states of america']
Near Dark,['united states of america']
One False Move,['united states of america']
Shaft,['united states of america']
The Conversation,['united states of america']
Cutter's Way,['united states of america']
The Fury,['united states of america']
The Paper Chase,['united states of america']
Prince of the City,['united states of america']
Serpico,"['italy', 'united states of america']"
Ace in the Hole,['united states of america']
Lonely Are the Brave,['united states of america']
The Sugarland Express,['united states of america']
Trouble in Paradise,['united states of america']
Big Trouble in Little China,['united states of america']
Badlands,['united states of america']
Battleship Potemkin,['russia']
Boys and Girls,['united states of america']
Shaft,"['germany', 'united states of america']"
Titan A.E.,['united states of america']
Butterfly,['spain']
Jesus' Son,"['canada', 'united states of america']"
The Match,['united kingdom']
Time Regained,"['france', 'italy', 'portugal']"
Chicken Run,['united kingdom']
"Me, Myself & Irene",['united states of america']
The Patriot,"['germany', 'united states of america']"
The Adventures of Rocky & Bullwinkle,"['germany', 'united states of america']"
The Perfect Storm,['united states of america']
The Golden Bowl,"['united kingdom', 'united states of america', 'france']"
Asylum,['united kingdom']
Communion,"['united kingdom', 'united states of america']"
Fun & Fancy Free,['united states of america']
The Kentucky Fried Movie,['united states of america']
Bound by Honor,['united states of america']
Daughter of Dr. Jekyll,['united states of america']
F/X,['united states of america']
F/X2,['united states of america']
The Hot Spot,['united states of america']
Missing in Action,['united states of america']
Missing in Action 2: The Beginning,['united states of america']
Braddock: Missing in Action III,['united states of america']
Thunderbolt and Lightfoot,['united states of america']
Dreamscape,['united states of america']
The Golden Voyage of Sinbad,"['united kingdom', 'united states of america']"
Hatchet for the Honeymoon,"['italy', 'spain']"
House Party,['united states of america']
House Party 2,['united states of america']
Make Mine Music,['united states of america']
Melody Time,['united states of america']
Nekromantik,['germany']
On Our Merry Way,['united states of america']
Project Moon Base,['united states of america']
Rocketship X-M,['united states of america']
Shaft in Africa,['united states of america']
Shaft's Big Score!,['united states of america']
Croupier,"['germany', 'france', 'ireland', 'united kingdom']"
The Kid,['united states of america']
Scary Movie,['united states of america']
But I'm a Cheerleader,['united states of america']
Shower,['china']
Blow-Up,"['united kingdom', 'united states of america', 'italy']"
The Pawnbroker,['united states of america']
Groove,['united states of america']
Footloose,['united states of america']
Duel in the Sun,['united states of america']
X-Men,['united states of america']
Chuck & Buck,['united states of america']
The Five Senses,['canada']
The Wisdom of Crocodiles,['united kingdom']
The In Crowd,['united states of america']
What Lies Beneath,['united states of america']
Pokémon: The Movie 2000,"['japan', 'united states of america']"
Criminal Lovers,['france']
Anatomy of a Murder,['united states of america']
Freejack,['united states of america']
Greaser's Palace,['united states of america']
H.O.T.S.,['united states of america']
Knightriders,['united states of america']
Mackenna's Gold,['united states of america']
Sinbad and the Eye of the Tiger,['united kingdom']
Two Women,"['italy', 'france']"
What About Bob?,['united states of america']
White Sands,['united states of america']
Breaker Morant,['australia']
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,['united states of america']
Interiors,['united states of america']
Love and Death,['united states of america']
The Official Story,['argentina']
The Other Side of Sunday,['norway']
Pot o' Gold,['united states of america']
Tampopo,['japan']
Thomas and the Magic Railroad,"['united kingdom', 'united states of america']"
Nutty Professor II: The Klumps,['united states of america']
The Girl on the Bridge,['france']
Wonderland,['united kingdom']
Autumn in New York,['united states of america']
Coyote Ugly,['united states of america']
Hollow Man,"['germany', 'united states of america']"
Space Cowboys,['united states of america']
Better Living,
Mad About Mambo,['ireland']
Psycho Beach Party,"['australia', 'united states of america']"
Saving Grace,"['france', 'united kingdom']"
Black Sabbath,"['france', 'italy', 'united states of america']"
The Brain That Wouldn't Die,['united states of america']
Bronco Billy,['united states of america']
The Crush,['united states of america']
Kelly's Heroes,"['serbia', 'united states of america']"
Phantasm II,['united states of america']
Phantasm III: Lord of the Dead,['united states of america']
Phantasm IV: Oblivion,['united states of america']
Pumpkinhead,['united states of america']
Air America,['united states of america']
Sleepaway Camp,['united states of america']
Steel Magnolias,['united states of america']
...And God Created Woman,['france']
Easy Money,['united states of america']
Ilsa: She Wolf of the SS,"['germany', 'united states of america']"
Silent Fall,['united states of america']
The Spiral Staircase,['united states of america']
What Ever Happened to Aunt Alice?,['united states of america']
Margaret Cho: I'm the One That I Want,['united states of america']
The Tao of Steve,['united states of america']
The Tic Code,
Aimee & Jaguar,['germany']
An Affair of Love,"['belgium', 'france', 'switzerland', 'luxembourg']"
The Autumn Heart,['united states of america']
Bless the Child,['united states of america']
Cecil B. Demented,"['france', 'united states of america']"
The Eyes of Tammy Faye,
The Opportunists,"['united kingdom', 'united states of america']"
The Replacements,['united states of america']
About Adam,"['ireland', 'united kingdom', 'united states of america']"
The Cell,"['germany', 'united states of america']"
Godzilla 2000,['japan']
The Original Kings of Comedy,['united states of america']
Sunset Strip,['united states of america']
All the Rage,['united states of america']
The Naked Gun: From the Files of Police Squad!,['united states of america']
The Naked Gun 2½: The Smell of Fear,['united states of america']
Our Town,['united states of america']
Shane,['united states of america']
"Suddenly, Last Summer",['united states of america']
Cat Ballou,['united states of america']
A Couch in New York,"['belgium', 'france', 'germany', 'united states of america']"
The Devil Rides Out,['united kingdom']
Jerry and Tom,['united states of america']
Supergirl,"['united kingdom', 'united states of america']"
X: The Unknown,['united kingdom']
The Art of War,"['canada', 'united states of america']"
The Ballad of Ramblin' Jack,
Phish: Bittersweet Motel,
Bring It On,['united states of america']
Catfish in Black Bean Sauce,['united states of america']
The Crew,['united states of america']
Love & Sex,
Steal This Movie,['united states of america']
Went to Coney Island on a Mission from God... Be Back by Five,
Skipped Parts,['united states of america']
Highlander: Endgame,['united states of america']
Backstage,['united states of america']
Turn It Up,['united states of america']
Anatomy,['germany']
Nurse Betty,"['germany', 'united states of america']"
Alone,['spain']
The Watcher,['united states of america']
The Way of the Gun,['united states of america']
Almost Famous,['united states of america']
Bait,['united states of america']
Circus,"['united kingdom', 'united states of america']"
Crime + Punishment in Suburbia,['united states of america']
Duets,['united states of america']
Goya in Bordeaux,"['italy', 'spain']"
Urbania,
Uninvited Guest,['united states of america']
The Specials,['united states of america']
Under Suspicion,['united states of america']
Prince of Central Park,
Urban Legends: Final Cut,"['canada', 'united states of america']"
Woman on Top,['united states of america']
Dancer in the Dark,"['argentina', 'denmark', 'finland', 'france', 'germany', 'iceland', 'italy', 'netherlands', 'norway', 'sweden', 'united kingdom', 'united states of america']"
Best in Show,['united states of america']
Beautiful,['united states of america']
Barenaked in America,
The Broken Hearts Club: A Romantic Comedy,['united states of america']
Girlfight,['united states of america']
Remember the Titans,['united states of america']
Hellraiser,['united kingdom']
Hellbound: Hellraiser II,['united kingdom']
Hellraiser III: Hell on Earth,"['canada', 'united states of america']"
"Faraway, So Close!",['germany']
Beach Party,['united states of america']
Bikini Beach,['united states of america']
Return of the Fly,['united states of america']
Pajama Party,
Stranger Than Paradise,['united states of america']
Voyage to the Bottom of the Sea,['united states of america']
Fantastic Voyage,['united states of america']
Abbott and Costello Meet Frankenstein,['united states of america']
The Bank Dick,['united states of america']
Creature from the Black Lagoon,['united states of america']
The Giant Gila Monster,['united states of america']
The Invisible Man,['united states of america']
The Killer Shrews,['united states of america']
Kronos,['united states of america']
Phantom of the Opera,['united states of america']
Runaway,['united states of america']
The Slumber Party Massacre,['united states of america']
Slumber Party Massacre II,['united states of america']
Slumber Party Massacre III,['united states of america']
Sorority House Massacre,['united states of america']
Sorority House Massacre II,['united states of america']
Bamboozled,['united states of america']
Bootmen,
Digimon: The Movie,"['japan', 'united states of america']"
Get Carter,['united states of america']
Get Carter,['united kingdom']
Meet the Parents,['united states of america']
Requiem for a Dream,['united states of america']
Tigerland,"['germany', 'united states of america']"
Two Family House,
The Contender,"['germany', 'united kingdom', 'united states of america']"
Dr. T and the Women,['united states of america']
Just Looking,['united states of america']
The Ladies Man,['united states of america']
Lost Souls,['united states of america']
Billy Jack,['united states of america']
Billy Jack Goes to Washington,['united states of america']
The Time Machine,['united states of america']
Haunted,"['united kingdom', 'united states of america']"
Ghoulies,['united states of america']
Ghoulies II,['united states of america']
The Unsinkable Molly Brown,['united states of america']
The Adventures of Ichabod and Mr. Toad,['united states of america']
The Strange Love of Martha Ivers,['united states of america']
Detour,['united states of america']
Billy Elliot,"['france', 'united kingdom']"
Bedazzled,['united states of america']
Pay It Forward,['united states of america']
The Beyond,['italy']
The Private Eyes,
The Legend of Drunken Master,['hong kong']
Book of Shadows: Blair Witch 2,['united states of america']
The Little Vampire,"['germany', 'netherlands', 'united states of america']"
Lucky Numbers,"['france', 'united states of america']"
Stardom,"['france', 'canada']"
Charlie's Angels,['united states of america']
The Legend of Bagger Vance,['united states of america']
Little Nicky,['united states of america']
Men of Honor,['united states of america']
Red Planet,"['australia', 'united states of america']"
What's Cooking?,"['united states of america', 'united kingdom']"
You Can Count on Me,['united states of america']
Diamonds Are Forever,"['united kingdom', 'united states of america']"
The Eagle Has Landed,['united kingdom']
The 6th Day,['united states of america']
Bounce,['united states of america']
How the Grinch Stole Christmas,"['germany', 'united states of america']"
One Day in September,"['germany', 'switzerland', 'united kingdom']"
Rugrats in Paris: The Movie,"['germany', 'united states of america']"
102 Dalmatians,['united states of america']
Malena,['italy']
Quills,"['germany', 'united kingdom', 'united states of america']"
Unbreakable,['united states of america']
Boys Life 3,['france']
"Crouching Tiger, Hidden Dragon","['china', 'hong kong', 'taiwan', 'united states of america']"
Dungeons & Dragons,"['czech republic', 'united states of america']"
Proof of Life,['united states of america']
Vertical Limit,"['new zealand', 'pakistan', 'united states of america']"
The Bounty,"['united states of america', 'united kingdom']"
Code of Silence,['united states of america']
"Planes, Trains and Automobiles",['united states of america']
She's Having a Baby,['united states of america']
Secrets of the Heart,"['france', 'portugal', 'spain']"
The Living Daylights,"['united kingdom', 'united states of america']"
The Transformers: The Movie,['united states of america']
Wall Street,['united states of america']
Born on the Fourth of July,['united states of america']
Talk Radio,"['canada', 'united states of america']"
Brewster's Millions,['united states of america']
Snatch,"['united kingdom', 'united states of america']"
Punchline,['united states of america']
Mr Accident,
Chocolat,"['united kingdom', 'united states of america']"
"Dude, Where’s My Car?",['united states of america']
The Emperor's New Groove,['united states of america']
Pollock,['united states of america']
What Women Want,['united states of america']
Finding Forrester,['united states of america']
The Gift,['united states of america']
Before Night Falls,['united states of america']
Cast Away,['united states of america']
The Family Man,['united states of america']
The House of Mirth,"['united kingdom', 'france', 'germany', 'united states of america']"
Miss Congeniality,['united states of america']
Nowhere to Hide,['south korea']
"O Brother, Where Art Thou?","['france', 'united kingdom', 'united states of america']"
Songcatcher,['united states of america']
State and Main,"['france', 'united states of america']"
Dracula 2000,['united states of america']
All the Pretty Horses,['united states of america']
An Everlasting Piece,['united states of america']
Thirteen Days,['united states of america']
Traffic,"['germany', 'united states of america']"
The Claim,"['united kingdom', 'canada', 'france']"
Shadow of the Vampire,['united states of america']
House of Games,['united states of america']
Kill Me Again,['united states of america']
Annie,['united states of america']
Don't Tell Mom the Babysitter's Dead,['united states of america']
An Officer and a Gentleman,['united states of america']
The Alamo,['united states of america']
At Close Range,['united states of america']
Breaker! Breaker!,['united states of america']
Breakheart Pass,['united states of america']
Friendly Persuasion,['united states of america']
Gettysburg,['united states of america']
Imaginary Crimes,['united states of america']
Rancho Deluxe,['united states of america']
The St  Francisville Experiment,['united states of america']
Antitrust,"['canada', 'united states of america']"
Double Take,['united states of america']
Save the Last Dance,['united states of america']
Panic,['united states of america']
The Pledge,['united states of america']
Kids World,
The Personals,['taiwan']
The Amati Girls,['united states of america']
Love Field,['united states of america']
The Man in the Moon,['united states of america']
Mystic Pizza,['united states of america']
Prelude to a Kiss,['united states of america']
Coffy,['united states of america']
Foxy Brown,['united states of america']
I'm Gonna Git You Sucka,['united states of america']
Untamed Heart,['united states of america']
Sugar & Spice,['united states of america']
The Wedding Planner,['united states of america']
Amy,['australia']
Dog Run,
Faithless,"['finland', 'germany', 'italy', 'norway', 'sweden']"
The Invisible Circus,['united states of america']
The Legend of Rita,['germany']
A Monkey's Tale,"['hungary', 'france', 'united kingdom', 'germany']"
Two Ninas,
"Harry, He's Here To Help",['france']
Amazing Grace and Chuck,['united states of america']
Amazon Women on the Moon,['united states of america']
Baby Boom,['united states of america']
Back to the Beach,['united states of america']
Barfly,['united states of america']
Best Seller,['united states of america']
Beverly Hills Cop II,['united states of america']
Beverly Hills Cop,['united states of america']
The Big Easy,['united states of america']
Big Shots,
The Big Town,['united states of america']
Born in East L.A.,['united states of america']
The Brave Little Toaster,['united states of america']
Can't Buy Me Love,['united states of america']
Cherry 2000,['united states of america']
Cop,['united states of america']
Critical Condition,['united states of america']
Cry Freedom,['united kingdom']
Curse,['hong kong']
Dead of Winter,['united states of america']
The Dead,"['ireland', 'united kingdom', 'united states of america']"
Death Before Dishonor,['united states of america']
Disorderlies,['united states of america']
Dogs in Space,['australia']
Eddie Murphy Raw,['united states of america']
Empire of the Sun,['united states of america']
Ernest Goes to Camp,['united states of america']
The Evil Dead,['united states of america']
Extreme Prejudice,['united states of america']
Family Viewing,['canada']
Five Corners,"['united kingdom', 'united states of america']"
Flowers in the Attic,['united states of america']
The Fourth Protocol,['united kingdom']
Gardens of Stone,['united states of america']
Julia and Julia,
The Glass Menagerie,
