title,runtime,release_year
descent,110.0,2007
college road trip,83.0,2008
"10,000 bc",109.0,2008
the bank job,112.0,2008
doomsday,108.0,2008
horton hears a who!,88.0,2008
funny games,112.0,2007
the counterfeiters,98.0,2007
mongol: the rise of genghis khan,120.0,2007
war dance,105.0,2007
the love guru,87.0,2008
veggietales: the pirates who don't do anything,85.0,2008
diary of the dead,95.0,2007
hallam foe,95.0,2007
penelope,103.0,2006
city of men,106.0,2007
chicago 10,110.0,2007
"romulus, my father",104.0,2007
the woman in white,109.0,1948
zeitgeist,118.0,2007
terkel in trouble,77.0,2004
jellyfish,82.0,2007
justice league: the new frontier,75.0,2008
the district,87.0,2004
the hottest state,117.0,2006
then she found me,100.0,2007
the naked island,94.0,1960
sigur rós: heima,97.0,2007
what just happened,104.0,2008
a little trip to heaven,98.0,2005
downhill racer,101.0,1969
saving sarah cain,103.0,2007
return of the living dead 3,97.0,1993
miss pettigrew lives for a day,92.0,2008
snow angels,106.0,2008
married life,90.0,2007
believers,95.0,2007
sun valley serenade,86.0,1941
mala noche,78.0,1986
on the outs,86.0,2004
stupid boy,94.0,2004
the class,99.0,2007
the dark knight,152.0,2008
doctor bull,79.0,1933
made in u.s.a,90.0,1966
restless natives,89.0,1985
quiet city,78.0,2007
phar lap,107.0,1983
51 birch street,90.0,2006
black dawn,96.0,2005
the hammer,88.0,2007
never back down,115.0,2008
terror's advocate,135.0,2007
9 star hotel,78.0,2007
napoleon,332.0,1927
cj7,86.0,2008
drillbit taylor,102.0,2008
dead awake,100.0,2001
under the same moon,106.0,2008
tropical malady,118.0,2005
slipstream,96.0,2007
terror of mechagodzilla,83.0,1975
the smiling lieutenant,93.0,1931
alatriste,145.0,2006
joysticks,88.0,1983
spirit trap,91.0,2005
the promised land,179.0,1975
youth without youth,125.0,2007
khadak,104.0,2006
21,123.0,2008
smart people,95.0,2008
pierrepoint: the last hangman,98.0,2005
the hawk is dying,112.0,2007
le bal,110.0,1983
the gymnast,96.0,2006
the shepherd: border patrol,95.0,2008
leatherheads,114.0,2008
assembly,124.0,2007
why not?,151.0,1981
pirates,124.0,1986
zebraman,115.0,2004
marketa lazarová,162.0,1967
stop-loss,113.0,2008
shine a light,122.0,2008
dark matter,90.0,2007
the business of being born,87.0,2008
black peter,85.0,1964
the aerial,99.0,2007
chan is missing,80.0,1982
close to home,98.0,2005
white palms,97.0,2006
saawariya,142.0,2007
julia,138.0,2008
i always wanted to be a gangster,108.0,2008
just anybody,121.0,2008
the pope's toilet,90.0,2007
inside,79.0,2007
nim's island,96.0,2008
the ruins,91.0,2008
joy division,93.0,2007
manda bala (send a bullet),85.0,2007
forgetting sarah marshall,111.0,2008
sex and death 101,100.0,2007
superhero movie,85.0,2008
street kings,109.0,2008
the visitor,104.0,2007
harold & kumar escape from guantanamo bay,107.0,2008
99 francs,100.0,2007
private property,95.0,2006
speed racer,135.0,2008
gabriel,109.0,2007
diminished capacity,92.0,2008
nathalie...,105.0,2003
chapter 27,84.0,2007
the thief who came to dinner,104.0,1973
the forbidden kingdom,104.0,2008
where in the world is osama bin laden?,93.0,2008
the life before her eyes,90.0,2007
"puff, puff, pass",94.0,2006
pulp,95.0,1972
virgin territory,93.0,2007
happy-go-lucky,118.0,2008
religulous,101.0,2008
outpost,90.0,2007
are you scared?,79.0,2006
before flying back to earth,52.0,2005
bernard and doris,103.0,2006
son of rambow,96.0,2007
super high me,89.0,2007
black friday,70.0,1940
the invisible ray,80.0,1936
murders in the rue morgue,61.0,1932
the killer elite,122.0,1975
tarzan escapes,89.0,1936
tarzan finds a son!,82.0,1939
tarzan's secret treasure,81.0,1941
tarzan's new york adventure,71.0,1942
viva zapata!,113.0,1952
antares,105.0,2004
outsourced,102.0,2006
deception,107.0,2008
baby mama,99.0,2008
the unknown woman,118.0,2006
delirious,107.0,2006
klimt,131.0,2006
expelled: no intelligence allowed,90.0,2008
viva cuba,93.0,2005
prom night,88.0,2008
the white massai,131.0,2005
iron man,126.0,2008
possessed,96.0,1999
made of honor,101.0,2008
redbelt,99.0,2008
mister lonely,112.0,2008
anamorph,107.0,2007
"the bread, my sweet",105.0,2001
taken,93.0,2008
hero wanted,95.0,2008
flight of the red balloon,117.0,2007
the fall,117.0,2008
stargate: the ark of truth,97.0,2008
walk all over me,98.0,2007
blind dating,99.0,2006
meet bill,97.0,2007
an american crime,97.0,2007
what happens in vegas,99.0,2008
white night,100.0,2007
american pie presents: beta house,88.0,2007
numb,93.0,2007
bella,91.0,2006
fiorile,118.0,1993
the man between,100.0,1953
the stars look down,110.0,1940
the unknown soldier,97.0,2006
a/k/a tommy chong,84.0,2006
the chronicles of narnia: prince caspian,150.0,2008
reprise,105.0,2006
the window,73.0,1949
the ron clark story,90.0,2006
shelter,97.0,2007
american crude,94.0,2008
young @ heart,107.0,2008
"war, inc.",106.0,2008
the year of the wolf,95.0,2007
the girl next door,91.0,2007
king corn,88.0,2007
indiana jones and the kingdom of the crystal skull,122.0,2008
how to rob a bank,81.0,2007
hey hey it's esther blueburger,103.0,2008
the quiet american,120.0,1958
blonde and blonder,95.0,2008
wesley willis: the daddy of rock 'n' roll,59.0,2003
patti smith: dream of life,109.0,2008
day of the outlaw,92.0,1959
nina's heavenly delights,94.0,2006
following sean,87.0,2006
one hour with you,80.0,1932
lake of fire,152.0,2006
the witnesses,112.0,2007
the oxford murders,107.0,2008
shutter,85.0,2008
the grand,104.0,2007
sex and the city,145.0,2008
the strangers,86.0,2008
savage grace,97.0,2007
bigger stronger faster*,105.0,2008
all the boys love mandy lane,90.0,2008
memories of matsuko,130.0,2006
allan quatermain and the temple of skulls,98.0,2008
kung fu panda,90.0,2008
what would jesus buy?,91.0,2007
extreme private eros: love song 1974,98.0,1974
the emperor's naked army marches on,122.0,1987
antonio das mortes,100.0,1969
recount,116.0,2008
ex drummer,90.0,2007
the art of crying,106.0,2007
where the sidewalk ends,95.0,1950
100 rifles,110.0,1969
blood alley,110.0,1955
chato's land,110.0,1972
cold sweat,94.0,1970
the fbi story,149.0,1959
"farewell, friend",115.0,1968
the iron mask,103.0,1929
st. ives,94.0,1976
villa rides,125.0,1968
the wings of eagles,110.0,1957
steamboat round the bend,81.0,1935
the world moves on,104.0,1934
pilgrimage,96.0,1933
lonelyhearts,100.0,1958
the andromeda strain,180.0,2008
boat people,109.0,1982
wrong move,103.0,1975
dust in the wind,109.0,1986
you don't mess with the zohan,113.0,2008
the prefab people,102.0,1982
the promotion,86.0,2008
when did you last see your father?,92.0,2007
my brother is an only child,108.0,2007
stuck,85.0,2007
july rhapsody,103.0,2002
flesh gordon,90.0,1974
telefon,102.0,1977
the lost world,97.0,1960
the mark of zorro,107.0,1920
the protector,91.0,1985
the three musketeers,119.0,1921
warlock,122.0,1959
the fiances,77.0,1963
il posto,93.0,1961
chaos theory,87.0,2008
the boys & girls guide to getting down,92.0,2007
boy a,100.0,2007
doctor who,89.0,1996
a complete history of my sexual failures,90.0,2008
the warlords,126.0,2007
spiral,90.0,2007
hounddog,102.0,2007
the happening,91.0,2008
the incredible hulk,114.0,2008
baghead,84.0,2008
the children of huang shi,125.0,2008
quill:  the life of a guide dog,100.0,2004
wall·e,98.0,2008
wanted,110.0,2008
hancock,92.0,2008
boy culture,88.0,2007
ten minutes older: the trumpet,92.0,2002
angel face,92.0,1952
huckleberry finn,118.0,1974
tom sawyer,103.0,1973
turn the river,92.0,2008
get smart,110.0,2008
young people fucking,90.0,2007
brick lane,102.0,2007
surfwise,93.0,2007
the rape of europa,117.0,2006
st. trinian's,101.0,2007
the penalty,90.0,1920
crossed tracks,103.0,2007
desire,95.0,1936
futurama: the beast with a billion backs,90.0,2008
equinox,80.0,1970
at the death house door,98.0,2008
archangel,90.0,1990
battlefield baseball,87.0,2003
the hourglass sanatorium,124.0,1973
the color of pomegranates,79.0,1969
david cross: let america laugh,93.0,2003
west of zanzibar,65.0,1928
tell it to the marines,103.0,1926
the unholy three,86.0,1925
the unholy three,72.0,1930
london after midnight,69.0,1927
dog day,101.0,1984
the klansman,112.0,1974
pocket money,102.0,1972
the goddess,93.0,1960
bambi ii,72.0,2006
gunnin' for that #1 spot,90.0,2008
finding amanda,96.0,2008
kit kittredge: an american girl,101.0,2008
gonzo: the life and work of dr. hunter s. thompson,120.0,2008
the wackness,99.0,2008
up the yangtze,93.0,2007
get well soon,95.0,2001
strange circus,108.0,2005
along came jones,90.0,1945
the black swan,87.0,1942
cheyenne autumn,154.0,1964
hour of the gun,100.0,1967
sleepwalking,101.0,2008
encounters at the end of the world,99.0,2007
mauvais sang,119.0,1986
dante 01,82.0,2008
standard operating procedure,117.0,2008
wee willie winkie,100.0,1937
a page of madness,70.0,1926
two women,96.0,1999
zombie strippers!,94.0,2008
frosty the snowman,25.0,1969
white light/black rain: the destruction of hiroshima and nagasaki,86.0,2007
roman polanski: wanted and desired,99.0,2008
z channel: a magnificent obsession,120.0,2004
battle for haditha,97.0,2007
alexandra,95.0,2007
transylvania,103.0,2006
mamma mia!,108.0,2008
ganes,110.0,2007
welcome to the sticks,106.0,2008
the pornographers,128.0,1966
kabluey,86.0,2007
the stone angel,116.0,2007
honeydripper,124.0,2007
summer '04,97.0,2006
the home of dark butterflies,108.0,2008
dark floors,85.0,2008
silentium,110.0,2004
rogue,99.0,2007
the violin,98.0,2005
sublime,113.0,2007
towelhead,111.0,2008
no regrets for our youth,110.0,1946
"it's the great pumpkin, charlie brown",25.0,1966
lost islands,101.0,2008
borderline,88.0,1950
katyn,118.0,2007
pan tadeusz,150.0,1999
journey to the center of the earth,93.0,2008
meet dave,90.0,2008
the machine girl,96.0,2008
august,88.0,2008
death defying acts,97.0,2007
water lilies,85.0,2007
shrooms,84.0,2007
manslaughter,100.0,2005
the bench,93.0,2000
breath,84.0,2007
just another love story,100.0,2007
the substitute,93.0,2007
next door,75.0,2005
chinese roulette,96.0,1976
heartbeat detector,143.0,2007
flakes,84.0,2007
death note,126.0,2006
a majority of one,156.0,1961
moving mcallister,89.0,2007
the tall t,78.0,1957
music within,94.0,2007
transsiberian,111.0,2008
space chimps,81.0,2008
the last mistress,104.0,2007
jimmy carter man from plains,125.0,2007
stargate: continuum,98.0,2008
watchmen,163.0,2009
bravo two zero,115.0,1999
conspiracy,90.0,2008
war games: the dead code,96.0,2008
wild west comedy show: 30 days & 30 nights - hollywood to the heartland,100.0,2006
steal a pencil for me,94.0,2007
shotgun stories,92.0,2007
watching the detectives,90.0,2007
mr. untouchable,92.0,2007
blast of silence,77.0,1961
felon,103.0,2008
step brothers,98.0,2008
brideshead revisited,133.0,2008
the x files: i want to believe,104.0,2008
american teen,95.0,2008
man on wire,94.0,2008
csny/déjà vu,96.0,2008
the little drummer boy,25.0,1968
the little mermaid ii: return to the sea,72.0,2000
the colour of magic,191.0,2008
hogfather,185.0,2006
mulberry street,84.0,2006
lost in beijing,112.0,2007
pathology,95.0,2008
love & pop,110.0,1998
the tracey fragments,77.0,2007
the family game,107.0,1983
the zone,97.0,2007
blindsight,104.0,2006
the edge of love,110.0,2008
the godless girl,113.0,1929
heart of a dog,136.0,1988
bonneville,93.0,2006
frozen city,92.0,2006
the mummy: tomb of the dragon emperor,112.0,2008
swing vote,120.0,2008
the midnight meat train,98.0,2008
frozen river,97.0,2008
sixty six,93.0,2006
bottle shock,110.0,2008
vicky cristina barcelona,96.0,2008
batman: gotham knight,75.0,2008
fist of the north star,110.0,1986
eve and the fire horse,92.0,2005
the end of summer,103.0,1961
a moment to remember,144.0,2004
year of the gun,111.0,1991
in paris,92.0,2006
the walker,108.0,2007
gigantics,80.0,1999
peppermint candy,130.0,1999
pineapple express,111.0,2008
red cliff,150.0,2008
the world's greatest lover,89.0,1977
wδz,104.0,2007
silent light,142.0,2007
the take,96.0,2007
expired,107.0,2007
the sisterhood of the traveling pants 2,117.0,2008
hell ride,84.0,2008
elegy,112.0,2008
the good humor man,112.0,2008
bomb it,93.0,2007
still life,15.0,2007
bathory: countess of blood,141.0,2008
quid pro quo,82.0,2008
black caesar,94.0,1973
high school musical 2,104.0,2007
tropic thunder,107.0,2008
the objective,90.0,2008
star wars: the clone wars,98.0,2008
henry poole is here,99.0,2008
in the city of sylvia,84.0,2007
mutant chronicles,111.0,2008
13 beloved,114.0,2006
waltz with bashir,90.0,2008
let the right one in,115.0,2008
hamlet 2,92.0,2008
death race,105.0,2008
the house bunny,97.0,2008
the longshots,94.0,2008
the rocker,102.0,2008
i.o.u.s.a.,85.0,2008
mirrors,110.0,2008
a girl cut in two,115.0,2007
fly me to the moon,84.0,2008
trumbo,96.0,2007
variety lights,93.0,1950
path to war,165.0,2002
sukiyaki western django,121.0,2007
american zombie,90.0,2007
noise,92.0,2008
return to house on haunted hill,81.0,2007
feed,101.0,2005
somers town,71.0,2008
burn after reading,96.0,2008
disaster movie,87.0,2008
babylon a.d.,101.0,2008
traitor,114.0,2008
college,94.0,2008
trouble the water,93.0,2008
the women,114.0,2008
the woman in black,100.0,1989
the onion movie,80.0,2008
sergeant rutledge,111.0,1960
the mother of tears,102.0,2007
the spirit,103.0,2008
john adams,501.0,2008
tobacco road,84.0,1941
oh! what a lovely war,138.0,1969
the burning plain,111.0,2008
the seventh cross,110.0,1944
bangkok dangerous,99.0,2008
everybody wants to be italian,105.0,2007
the boys in company c,125.0,1978
a secret,105.0,2007
august evening,128.0,2007
flash point,88.0,2007
the fifth commandment,87.0,2008
the subtenant,104.0,2008
the jammed,89.0,2007
pu-239,97.0,2006
sunflower,129.0,2005
son of lassie,102.0,1945
flu bird horror,89.0,2008
dark blue almost black,105.0,2006
the foot fist way,85.0,2006
altered,88.0,2006
thieves,105.0,2007
righteous kill,101.0,2008
lakeview terrace,110.0,2008
to rob a thief,98.0,2007
shadows in paradise,76.0,1986
ghost town,102.0,2008
maradona by kusturica,90.0,2008
accused,103.0,2005
import/export,135.0,2007
the crow iv: wicked prayer,99.0,2005
in bed,85.0,2005
jam,91.0,2007
"africa, goodbye",122.0,1966
private parts,87.0,1972
freebie and the bean,113.0,1974
sawdust and tinsel,93.0,1953
humboldt county,97.0,2008
100 feet,105.0,2008
boot camp,99.0,2008
on the beach,195.0,2000
an autumn afternoon,112.0,1962
moonbase,90.0,1997
appaloosa,115.0,2008
miracle at st. anna,160.0,2008
so normal,110.0,2003
the steamroller and the violin,46.0,1961
dead fury,82.0,2008
tears of april,115.0,2008
zuzu angel,108.0,2006
1984,90.0,1956
"home among strangers, a stranger among his own",97.0,1974
dead man's letters,87.0,1986
eagle eye,118.0,2008
how to lose friends & alienate people,110.0,2008
six shooter,27.0,2004
nights in rodanthe,97.0,2008
look back in anger,98.0,1959
nick and norah's infinite playlist,89.0,2008
the secrets,120.0,2007
marjoe,88.0,1972
martyrs,99.0,2008
supermarket woman,127.0,1996
sound of the mountain,96.0,1954
"sexo, amor e traição",90.0,2004
red,90.0,2008
part of the weekend never dies,60.0,2008
the music room,100.0,1958
gomorrah,135.0,2008
the funeral,124.0,1984
the accidental husband,90.0,2008
km 31: kilometer 31,103.0,2006
the duchess,110.0,2008
alone in the dark 2,88.0,2008
"the tulse luper suitcases, part 1: the moab story",127.0,2003
dead leaves,52.0,2004
the wrong man,104.0,1993
rachel getting married,113.0,2008
body of lies,128.0,2008
city of ember,90.0,2008
magicians,90.0,2007
"20,000 leagues under the sea",105.0,1916
ace high,132.0,1968
autism: the musical,93.0,2007
max payne,100.0,2008
the pool,98.0,2008
zack and miri make a porno,102.0,2008
w.,131.0,2008
my best friend's girl,101.0,2008
family life,108.0,1971
adios sabata,104.0,1970
"synecdoche, new york",124.0,2008
come to the stable,94.0,1949
the drowning pool,108.0,1975
the secret life of bees,114.0,2008
flash of genius,119.0,2008
an american carol,83.0,2008
the banishment,157.0,2007
the wave,107.0,2008
two worlds,105.0,2007
tokyo-ga,92.0,1985
black river,114.0,1957
fallout,90.0,1998
"angus, thongs and perfect snogging",100.0,2008
bad eggs,98.0,2003
the family that preys,111.0,2008
the flight before christmas,80.0,2008
quarantine,89.0,2008
typhoon club,115.0,1985
black moon,100.0,1975
my sons,120.0,1991
lost boys: the tribe,94.0,2008
pride and glory,130.0,2008
fifty pills,85.0,2006
the express,130.0,2008
lone wolf and cub: baby cart to hades,89.0,1972
lone wolf and cub: baby cart in peril,81.0,1972
babylon 5: the legend of the rangers - to live and die in starlight,90.0,2002
babylon 5: the lost tales - voices in the dark,75.0,2007
the love of siam,154.0,2007
rocknrolla,114.0,2008
zen noir,71.0,2004
high school musical 3: senior year,116.0,2008
the wicked lady,104.0,1945
i can get it for you wholesale,91.0,1951
the adventures of huckleberry finn,91.0,1939
resistance,92.0,2003
futurama: bender's game,88.0,2008
tin man,270.0,2007
into the west,552.0,2005
the adventures of tom sawyer,90.0,1938
madagascar: escape 2 africa,89.0,2008
admiral,123.0,2008
the affairs of anatol,117.0,1921
blindness,121.0,2008
changeling,141.0,2008
guinea pig 2: flower of flesh and blood,42.0,1985
the road,111.0,2009
slumdog millionaire,120.0,2008
quantum of solace,106.0,2008
filth and wisdom,81.0,2008
a tale of two cities,115.0,1958
role models,99.0,2008
the great k&a train robbery,53.0,1926
rockin' in the rockies,63.0,1945
tokyo!,112.0,2008
tokyo gore police,110.0,2008
kozara,124.0,1962
sauna,85.0,2010
chaotic ana,119.0,2007
jcvd,96.0,2008
repast,97.0,1951
feiern,81.0,2006
happily ever after,75.0,1990
cinderella,88.0,1997
gold raiders,56.0,1951
slacker uprising,102.0,2007
crows zero,130.0,2007
the man who challenged the devil,106.0,2007
the winning of barbara worth,89.0,1926
the whole town's talking,93.0,1935
the war lord,123.0,1965
krabat and the legend of the satanic mill,120.0,2008
säg att du älskar mig,87.0,2006
christmas story,83.0,2007
the guard post,121.0,2008
every stewardess goes to heaven,93.0,2002
goyokin,124.0,1969
camp rock,94.0,2008
farscape: the peacekeeper wars,182.0,2004
saw v,92.0,2008
a christmas tale,152.0,2008
critters 4,100.0,1992
restaurant,107.0,1998
sex drive,109.0,2008
soul men,103.0,2008
while she was out,108.0,2008
the island,112.0,2006
beverly hills chihuahua,91.0,2008
half moon,107.0,2006
purple violets,103.0,2007
christmas on mars,82.0,2008
the blue hour,92.0,2007
fanny,134.0,1961
the free will,163.0,2006
hanzo the razor: sword of justice,108.0,1972
where a good man goes,90.0,1999
the face of another,124.0,1966
the gaucho,95.0,1927
don q son of zorro,111.0,1925
three monkeys,109.0,2008
casanova '70,125.0,1965
bellissima,108.0,1951
tattooed life,87.0,1965
bullfighter and the lady,87.0,1951
the living sea,40.0,1995
the dirty dozen: next mission,95.0,1985
the dirty dozen: the deadly mission,90.0,1987
wagon master,86.0,1950
ring of darkness,85.0,2004
the class,128.0,2008
when willie comes marching home,82.0,1950
splinter,82.0,2008
confessions of a superhero,92.0,2007
the manson family,95.0,2003
kanak attack,86.0,2000
australia,165.0,2008
bolt,98.0,2008
revenge of the zombies,61.0,1943
milk,128.0,2008
the devil-doll,78.0,1936
twilight,122.0,2008
the children,84.0,2008
transporter 3,104.0,2008
four christmases,88.0,2008
the boy in the striped pyjamas,94.0,2008
surveillance,97.0,2008
stuff and dough,90.0,2001
fireproof,122.0,2008
igor,87.0,2008
the devil's chair,91.0,2007
dinotopia,250.0,2002
hunger,96.0,2008
cadillac records,109.0,2008
punisher: war zone,102.0,2008
the guyver,88.0,1991
flashbacks of a fool,110.0,2008
charulata,117.0,1964
lady with the dog,83.0,1960
the bell boy,33.0,1918
shrek the halls,28.0,2007
the lovers,90.0,1958
the blue light,85.0,1932
the pervert's guide to cinema,150.0,2006
hospital,84.0,1970
women of the night,74.0,1948
a matter of loaf and death,30.0,2008
ace of hearts,100.0,2008
a friend of mine,84.0,2006
the long night,101.0,1947
fools' parade,98.0,1971
gypsy,153.0,1993
malaya,98.0,1949
ninja iii: the domination,92.0,1984
body of war,87.0,2007
the sun shines bright,92.0,1953
four men and a prayer,85.0,1938
a man named pearl,0.0,2006
dallas - war of the ewings,120.0,1998
much ado about something,70.0,2001
the day the earth stood still,104.0,2008
che: part one,134.0,2008
che: part two,131.0,2009
starship troopers 3: marauder,105.0,2008
dean spanley,100.0,2008
i am the law,83.0,1938
boomerang!,88.0,1947
patterns,83.0,1956
nothing like the holidays,98.0,2008
the climax,86.0,1944
the strange door,81.0,1951
pandora's box,112.0,2008
doubt,104.0,2008
cyborg she,120.0,2008
the forgotten one,98.0,1989
gran torino,116.0,2008
frost/nixon,122.0,2008
the reader,124.0,2008
the wrecking crew,105.0,1968
rab ne bana di jodi,167.0,2008
delgo,94.0,2008
room of death,115.0,2007
waiter,95.0,2006
sword of the stranger,103.0,2007
i've loved you so long,115.0,2008
jesus is a palestinian,110.0,1999
seven pounds,123.0,2008
meltdown: days of destruction,90.0,2006
pin,103.0,1988
love,90.0,2005
the animal kingdom,85.0,1932
andromeda nebula,77.0,1967
the wrestler,109.0,2008
the memory keeper's daughter,90.0,2008
the little giant,76.0,1933
mr. wu,90.0,1927
a chinese ghost story ii,104.0,1990
why we fight: the nazis strike,42.0,1943
why we fight: the battle of britain,54.0,1943
small cuts,95.0,2003
arabian nights,86.0,1942
the blackbird,86.0,1926
why we fight: the battle of russia,83.0,1943
the more the merrier,104.0,1943
tuya's marriage,96.0,2006
face of a fugitive,81.0,1959
the dirty dozen: the fatal mission,100.0,1988
the curious case of benjamin button,166.0,2008
why we fight: divide and conquer,57.0,1943
yes man,104.0,2008
hexed,90.0,1993
on the rumba river,0.0,2007
valkyrie,121.0,2008
birds of america,85.0,2008
pete seeger: the power of song,93.0,2007
5 centimeters per second,63.0,2007
h.g. wells' war of the worlds,100.0,2005
war of the worlds 2: the next wave,90.0,2008
constantine's sword,0.0,2008
impulse,101.0,2008
zamfir's zona,104.0,2002
double dynamite,80.0,1951
the death kiss,75.0,1932
girls rock!,90.0,2008
ben x,90.0,2007
alien raiders,85.0,2008
trainwreck: my life as an idiot,90.0,2007
the king of ping pong,107.0,2008
jane austen in manhattan,108.0,1980
bedtime stories,99.0,2008
manhattan melodrama,93.0,1934
two days,91.0,2003
choke,92.0,2008
revolutionary road,119.0,2008
blackadder back & forth,33.0,1999
blackadder's christmas carol,43.0,1988
loft,118.0,2008
"surfer, dude",85.0,2008
magnificent 7,85.0,2005
nobel son,110.0,2007
dear zachary: a letter to a son about his father,95.0,2008
wild child,98.0,2008
chandu the magician,71.0,1932
defiance,137.0,2008
zeitgeist: addendum,123.0,2008
dr. jack,60.0,1922
marley & me,115.0,2008
the grocer's son,96.0,2007
decoy,76.0,1946
blackout,108.0,2008
jesse stone: night passage,89.0,2006
involuntary,98.0,2008
ponyo,100.0,2008
high and dizzy,26.0,1920
now or never,35.0,1921
the good guys and the bad guys,91.0,1969
six in paris,95.0,1965
shadow company,86.0,2006
satan met a lady,74.0,1936
jack brooks: monster slayer,85.0,2007
the vanishing point,88.0,2007
poultrygeist: night of the chicken dead,103.0,2006
young gods,104.0,2003
the general died at dawn,98.0,1936
"have rocket, will travel",76.0,1959
the house of sand,115.0,2005
earthsea,180.0,2004
brotherhood of death,85.0,1976
man with the gun,83.0,1955
american ninja 4: the annihilation,99.0,1990
wendy and lucy,80.0,2008
open season 2,76.0,2008
last chance harvey,92.0,2008
dallas,94.0,1950
ip man,108.0,2008
the dungeonmaster,73.0,1984
howling v: the rebirth,96.0,1989
the young visiters,90.0,2003
replicant,100.0,2001
the duel at silver creek,77.0,1952
the recruiter,86.0,2008
habana blues,115.0,2005
why we fight: the battle of china,62.0,1944
passengers,93.0,2008
the tale of despereaux,93.0,2008
bride wars,89.0,2009
the gamers: dorkness rising,105.0,2008
mesrine: killer instinct,113.0,2008
my bloody valentine,101.0,2009
blood and bones,140.0,2004
castaway,117.0,1986
island in the sun,119.0,1957
liberty kid,92.0,2007
de fûke,90.0,2000
battle in seattle,99.0,2007
fuel,95.0,2009
aspen,146.0,1991
model,129.0,1980
timecrimes,92.0,2007
fire and ice: the dragon chronicles,84.0,2008
the secret of the grain,151.0,2007
hamlet,178.0,2000
punk's not dead,93.0,2007
the welts,91.0,2004
grbavica: the land of my dreams,90.0,2006
underworld: rise of the lycans,92.0,2009
inkheart,106.0,2008
gun the man down,76.0,1956
albuquerque,90.0,1948
why we fight: war comes to america,70.0,1945
john waters: this filthy world,86.0,2006
the soviet story,86.0,2008
shoot on sight,112.0,2008
the alphabet killer,98.0,2008
revenge of the nerds iii: the next generation,93.0,1992
revenge of the nerds iv: nerds in love,92.0,1994
soup to nuts,70.0,1930
chinese coffee,99.0,2000
save me,96.0,2007
the lazarus project,99.0,2008
the man,93.0,1972
galaxy express 999,128.0,1979
paul blart: mall cop,91.0,2009
notorious,122.0,2009
the unborn,87.0,2009
donkey punch,99.0,2008
where is fred?,107.0,2006
make it happen,90.0,2008
three strangers,92.0,1946
repo! the genetic opera,98.0,2008
edge of madness,99.0,2002
the uninvited,87.0,2009
fear(s) of the dark,85.0,2008
12:01,92.0,1993
game over,85.0,2005
maria,97.0,2003
night train,87.0,2009
the big stampede,54.0,1932
blue,113.0,1968
the visitor,105.0,2008
kummeli goldrush,96.0,1997
shadow of the holy book,90.0,2007
outlander,115.0,2008
belle of the nineties,70.0,1934
branded,104.0,1950
a dead calling,91.0,2006
beachhead,90.0,1954
los signos del zodiaco,0.0,1964
passchendaele,114.0,2008
the great ecstasy of woodcarver steiner,45.0,1974
go go tales,96.0,2007
wrestling with alligators,95.0,1998
the badlanders,83.0,1958
black widow,95.0,1954
bad luck love,94.0,2000
the grudge 3,90.0,2009
indictment: the mcmartin trial,135.0,1995
eden lake,91.0,2008
triumph of the nerds: the rise of accidental empires,165.0,1996
coraline,100.0,2009
psychomania,85.0,1973
point of order!,97.0,1964
chocolate,110.0,2008
terrorvision,83.0,1986
the escapist,102.0,2008
push,111.0,2009
the international,118.0,2009
two lovers,110.0,2008
he's just not that into you,129.0,2009
jar city,93.0,2006
dead like me: life after death,87.0,2009
uuno turhapuro,87.0,1973
california,97.0,1947
canyon passage,92.0,1946
the con,92.0,1998
husbands,131.0,1970
the cimarron kid,84.0,1952
the avenging conscience: or 'thou shalt not kill',78.0,1914
singapore sling,115.0,1990
33 scenes from life,100.0,2008
futurama: into the wild green yonder,90.0,2009
the bandit,121.0,1996
hotel for dogs,100.0,2009
the deadly trackers,110.0,1973
frontier(s),108.0,2007
comet in moominland,70.0,1992
the 11th hour,95.0,2007
daddy,110.0,1995
fireflies in the garden,108.0,2008
afro samurai: resurrection,91.0,2009
café lumière,103.0,2004
death by hanging,117.0,1968
the last movie,108.0,1971
dry season,96.0,2006
jesus christ superstar,107.0,2000
trancers,77.0,1984
the man who quit smoking,104.0,1972
departures,130.0,2008
taking chance,77.0,2009
americaneast,112.0,2008
my name is bruce,86.0,2007
man in the chair,107.0,2007
robinson in space,78.0,1997
the way of war,90.0,2009
kimberly,106.0,2000
ralliraita,0.0,2009
ping pong playa,96.0,2007
funny people,146.0,2009
berlin calling,105.0,2008
against the dark,94.0,2009
the letter for the king,110.0,2008
firepower,104.0,1979
nuremberg,180.0,2000
bigger than life,95.0,1956
going to kansas city,97.0,1998
red sands,89.0,2009
show me,97.0,2004
the lost,94.0,2009
still waiting...,90.0,2009
pistol whipped,96.0,2008
flight of fury,98.0,2007
the far horizons,108.0,1955
container,72.0,2006
mystery team,97.0,2009
killer babes,100.0,2007
a world without thieves,113.0,2004
the gunfight at dodge city,81.0,1959
his private secretary,60.0,1933
street fighter: the legend of chun-li,97.0,2009
urban justice,96.0,2007
tough enough,99.0,2006
madea goes to jail,103.0,2009
the black watch,93.0,1929
away we go,98.0,2009
hell to eternity,131.0,1960
the unsuspected,103.0,1947
thick as thieves,104.0,2009
beautiful ohio,91.0,2006
il grido,116.0,1957
the big lift,120.0,1950
il divo,110.0,2008
wings,85.0,1966
paris,130.0,2008
adrift in manhattan,91.0,2007
